simulation,total_profit,total_losses,net_value,defaults,increases_granted,customer_id,risk_category
0,40.0,1128.5,-1088.5,1,2,30431,Near-Prime
1,80.0,0.0,80.0,0,2,30431,Near-Prime
2,160.0,0.0,160.0,0,4,30431,Near-Prime
3,120.0,0.0,120.0,0,3,30431,Near-Prime
4,120.0,0.0,120.0,0,3,30431,Near-Prime
5,80.0,0.0,80.0,0,2,30431,Near-Prime
6,120.0,0.0,120.0,0,3,30431,Near-Prime
7,40.0,1128.5,-1088.5,1,2,30431,Near-Prime
8,120.0,0.0,120.0,0,3,30431,Near-Prime
9,40.0,0.0,40.0,0,1,30431,Near-Prime
10,120.0,0.0,120.0,0,3,30431,Near-Prime
11,120.0,0.0,120.0,0,3,30431,Near-Prime
12,80.0,0.0,80.0,0,2,30431,Near-Prime
13,120.0,0.0,120.0,0,3,30431,Near-Prime
14,80.0,0.0,80.0,0,2,30431,Near-Prime
15,120.0,0.0,120.0,0,3,30431,Near-Prime
16,80.0,0.0,80.0,0,2,30431,Near-Prime
17,40.0,1128.5,-1088.5,1,2,30431,Near-Prime
18,40.0,0.0,40.0,0,1,30431,Near-Prime
19,120.0,0.0,120.0,0,3,30431,Near-Prime
20,80.0,0.0,80.0,0,2,30431,Near-Prime
21,80.0,0.0,80.0,0,2,30431,Near-Prime
22,40.0,0.0,40.0,0,1,30431,Near-Prime
23,80.0,0.0,80.0,0,2,30431,Near-Prime
24,80.0,0.0,80.0,0,2,30431,Near-Prime
25,80.0,1128.5,-1048.5,1,3,30431,Near-Prime
26,80.0,1128.5,-1048.5,1,3,30431,Near-Prime
27,80.0,0.0,80.0,0,2,30431,Near-Prime
28,80.0,0.0,80.0,0,2,30431,Near-Prime
29,40.0,0.0,40.0,0,1,30431,Near-Prime
30,80.0,0.0,80.0,0,2,30431,Near-Prime
31,160.0,0.0,160.0,0,4,30431,Near-Prime
32,80.0,1128.5,-1048.5,1,3,30431,Near-Prime
33,120.0,0.0,120.0,0,3,30431,Near-Prime
34,80.0,0.0,80.0,0,2,30431,Near-Prime
35,40.0,1128.5,-1088.5,1,2,30431,Near-Prime
36,80.0,0.0,80.0,0,2,30431,Near-Prime
37,80.0,0.0,80.0,0,2,30431,Near-Prime
38,0.0,0.0,0.0,0,0,30431,Near-Prime
39,120.0,1128.5,-1008.5,1,4,30431,Near-Prime
40,80.0,0.0,80.0,0,2,30431,Near-Prime
41,40.0,0.0,40.0,0,1,30431,Near-Prime
42,80.0,0.0,80.0,0,2,30431,Near-Prime
43,0.0,0.0,0.0,0,0,30431,Near-Prime
44,40.0,1128.5,-1088.5,1,2,30431,Near-Prime
45,80.0,0.0,80.0,0,2,30431,Near-Prime
46,80.0,0.0,80.0,0,2,30431,Near-Prime
47,160.0,0.0,160.0,0,4,30431,Near-Prime
48,40.0,1128.5,-1088.5,1,2,30431,Near-Prime
49,40.0,1128.5,-1088.5,1,2,30431,Near-Prime
50,40.0,0.0,40.0,0,1,30431,Near-Prime
51,80.0,0.0,80.0,0,2,30431,Near-Prime
52,120.0,0.0,120.0,0,3,30431,Near-Prime
53,40.0,0.0,40.0,0,1,30431,Near-Prime
54,120.0,0.0,120.0,0,3,30431,Near-Prime
55,40.0,1128.5,-1088.5,1,2,30431,Near-Prime
56,80.0,0.0,80.0,0,2,30431,Near-Prime
57,120.0,0.0,120.0,0,3,30431,Near-Prime
58,80.0,0.0,80.0,0,2,30431,Near-Prime
59,40.0,0.0,40.0,0,1,30431,Near-Prime
60,80.0,0.0,80.0,0,2,30431,Near-Prime
61,160.0,0.0,160.0,0,4,30431,Near-Prime
62,80.0,0.0,80.0,0,2,30431,Near-Prime
63,120.0,0.0,120.0,0,3,30431,Near-Prime
64,40.0,1128.5,-1088.5,1,2,30431,Near-Prime
65,120.0,0.0,120.0,0,3,30431,Near-Prime
66,120.0,0.0,120.0,0,3,30431,Near-Prime
67,160.0,0.0,160.0,0,4,30431,Near-Prime
68,80.0,1128.5,-1048.5,1,3,30431,Near-Prime
69,120.0,0.0,120.0,0,3,30431,Near-Prime
70,160.0,0.0,160.0,0,4,30431,Near-Prime
71,120.0,0.0,120.0,0,3,30431,Near-Prime
72,80.0,0.0,80.0,0,2,30431,Near-Prime
73,120.0,0.0,120.0,0,3,30431,Near-Prime
74,120.0,0.0,120.0,0,3,30431,Near-Prime
75,80.0,0.0,80.0,0,2,30431,Near-Prime
76,40.0,0.0,40.0,0,1,30431,Near-Prime
77,80.0,1128.5,-1048.5,1,3,30431,Near-Prime
78,120.0,0.0,120.0,0,3,30431,Near-Prime
79,160.0,0.0,160.0,0,4,30431,Near-Prime
80,40.0,0.0,40.0,0,1,30431,Near-Prime
81,120.0,0.0,120.0,0,3,30431,Near-Prime
82,40.0,0.0,40.0,0,1,30431,Near-Prime
83,80.0,0.0,80.0,0,2,30431,Near-Prime
84,120.0,0.0,120.0,0,3,30431,Near-Prime
85,80.0,0.0,80.0,0,2,30431,Near-Prime
86,40.0,0.0,40.0,0,1,30431,Near-Prime
87,80.0,0.0,80.0,0,2,30431,Near-Prime
88,80.0,0.0,80.0,0,2,30431,Near-Prime
89,120.0,0.0,120.0,0,3,30431,Near-Prime
90,40.0,0.0,40.0,0,1,30431,Near-Prime
91,0.0,0.0,0.0,0,0,30431,Near-Prime
92,120.0,0.0,120.0,0,3,30431,Near-Prime
93,120.0,1128.5,-1008.5,1,4,30431,Near-Prime
94,120.0,0.0,120.0,0,3,30431,Near-Prime
95,120.0,0.0,120.0,0,3,30431,Near-Prime
96,120.0,1128.5,-1008.5,1,4,30431,Near-Prime
97,120.0,0.0,120.0,0,3,30431,Near-Prime
98,80.0,1128.5,-1048.5,1,3,30431,Near-Prime
99,120.0,0.0,120.0,0,3,30431,Near-Prime
0,40.0,0.0,40.0,0,1,3340,Near-Prime
1,0.0,711.5,-711.5,1,1,3340,Near-Prime
2,120.0,0.0,120.0,0,3,3340,Near-Prime
3,80.0,0.0,80.0,0,2,3340,Near-Prime
4,40.0,711.5,-671.5,1,2,3340,Near-Prime
5,120.0,0.0,120.0,0,3,3340,Near-Prime
6,80.0,0.0,80.0,0,2,3340,Near-Prime
7,40.0,0.0,40.0,0,1,3340,Near-Prime
8,40.0,0.0,40.0,0,1,3340,Near-Prime
9,40.0,0.0,40.0,0,1,3340,Near-Prime
10,80.0,0.0,80.0,0,2,3340,Near-Prime
11,80.0,0.0,80.0,0,2,3340,Near-Prime
12,40.0,0.0,40.0,0,1,3340,Near-Prime
13,40.0,0.0,40.0,0,1,3340,Near-Prime
14,80.0,0.0,80.0,0,2,3340,Near-Prime
15,120.0,711.5,-591.5,1,4,3340,Near-Prime
16,40.0,0.0,40.0,0,1,3340,Near-Prime
17,40.0,0.0,40.0,0,1,3340,Near-Prime
18,120.0,0.0,120.0,0,3,3340,Near-Prime
19,40.0,0.0,40.0,0,1,3340,Near-Prime
20,120.0,0.0,120.0,0,3,3340,Near-Prime
21,40.0,0.0,40.0,0,1,3340,Near-Prime
22,160.0,0.0,160.0,0,4,3340,Near-Prime
23,40.0,0.0,40.0,0,1,3340,Near-Prime
24,0.0,0.0,0.0,0,0,3340,Near-Prime
25,80.0,0.0,80.0,0,2,3340,Near-Prime
26,40.0,711.5,-671.5,1,2,3340,Near-Prime
27,40.0,0.0,40.0,0,1,3340,Near-Prime
28,160.0,0.0,160.0,0,4,3340,Near-Prime
29,80.0,0.0,80.0,0,2,3340,Near-Prime
30,120.0,711.5,-591.5,1,4,3340,Near-Prime
31,80.0,0.0,80.0,0,2,3340,Near-Prime
32,120.0,0.0,120.0,0,3,3340,Near-Prime
33,40.0,0.0,40.0,0,1,3340,Near-Prime
34,40.0,711.5,-671.5,1,2,3340,Near-Prime
35,80.0,0.0,80.0,0,2,3340,Near-Prime
36,120.0,711.5,-591.5,1,4,3340,Near-Prime
37,40.0,0.0,40.0,0,1,3340,Near-Prime
38,120.0,0.0,120.0,0,3,3340,Near-Prime
39,80.0,0.0,80.0,0,2,3340,Near-Prime
40,80.0,0.0,80.0,0,2,3340,Near-Prime
41,40.0,0.0,40.0,0,1,3340,Near-Prime
42,80.0,0.0,80.0,0,2,3340,Near-Prime
43,120.0,0.0,120.0,0,3,3340,Near-Prime
44,0.0,0.0,0.0,0,0,3340,Near-Prime
45,80.0,711.5,-631.5,1,3,3340,Near-Prime
46,40.0,0.0,40.0,0,1,3340,Near-Prime
47,80.0,0.0,80.0,0,2,3340,Near-Prime
48,160.0,0.0,160.0,0,4,3340,Near-Prime
49,80.0,0.0,80.0,0,2,3340,Near-Prime
50,120.0,0.0,120.0,0,3,3340,Near-Prime
51,80.0,0.0,80.0,0,2,3340,Near-Prime
52,40.0,0.0,40.0,0,1,3340,Near-Prime
53,80.0,711.5,-631.5,1,3,3340,Near-Prime
54,40.0,0.0,40.0,0,1,3340,Near-Prime
55,120.0,0.0,120.0,0,3,3340,Near-Prime
56,0.0,0.0,0.0,0,0,3340,Near-Prime
57,0.0,0.0,0.0,0,0,3340,Near-Prime
58,40.0,0.0,40.0,0,1,3340,Near-Prime
59,80.0,0.0,80.0,0,2,3340,Near-Prime
60,40.0,0.0,40.0,0,1,3340,Near-Prime
61,80.0,0.0,80.0,0,2,3340,Near-Prime
62,80.0,0.0,80.0,0,2,3340,Near-Prime
63,120.0,0.0,120.0,0,3,3340,Near-Prime
64,40.0,0.0,40.0,0,1,3340,Near-Prime
65,120.0,0.0,120.0,0,3,3340,Near-Prime
66,120.0,0.0,120.0,0,3,3340,Near-Prime
67,120.0,0.0,120.0,0,3,3340,Near-Prime
68,80.0,0.0,80.0,0,2,3340,Near-Prime
69,160.0,0.0,160.0,0,4,3340,Near-Prime
70,40.0,0.0,40.0,0,1,3340,Near-Prime
71,40.0,711.5,-671.5,1,2,3340,Near-Prime
72,40.0,0.0,40.0,0,1,3340,Near-Prime
73,80.0,0.0,80.0,0,2,3340,Near-Prime
74,80.0,0.0,80.0,0,2,3340,Near-Prime
75,80.0,0.0,80.0,0,2,3340,Near-Prime
76,80.0,0.0,80.0,0,2,3340,Near-Prime
77,80.0,0.0,80.0,0,2,3340,Near-Prime
78,80.0,0.0,80.0,0,2,3340,Near-Prime
79,80.0,0.0,80.0,0,2,3340,Near-Prime
80,120.0,0.0,120.0,0,3,3340,Near-Prime
81,80.0,0.0,80.0,0,2,3340,Near-Prime
82,40.0,0.0,40.0,0,1,3340,Near-Prime
83,80.0,0.0,80.0,0,2,3340,Near-Prime
84,120.0,0.0,120.0,0,3,3340,Near-Prime
85,120.0,0.0,120.0,0,3,3340,Near-Prime
86,80.0,0.0,80.0,0,2,3340,Near-Prime
87,120.0,0.0,120.0,0,3,3340,Near-Prime
88,120.0,0.0,120.0,0,3,3340,Near-Prime
89,120.0,0.0,120.0,0,3,3340,Near-Prime
90,40.0,0.0,40.0,0,1,3340,Near-Prime
91,80.0,0.0,80.0,0,2,3340,Near-Prime
92,80.0,0.0,80.0,0,2,3340,Near-Prime
93,40.0,0.0,40.0,0,1,3340,Near-Prime
94,80.0,0.0,80.0,0,2,3340,Near-Prime
95,40.0,711.5,-671.5,1,2,3340,Near-Prime
96,80.0,0.0,80.0,0,2,3340,Near-Prime
97,40.0,711.5,-671.5,1,2,3340,Near-Prime
98,40.0,711.5,-671.5,1,2,3340,Near-Prime
99,40.0,0.0,40.0,0,1,3340,Near-Prime
0,80.0,0.0,80.0,0,2,9186,Near-Prime
1,40.0,0.0,40.0,0,1,9186,Near-Prime
2,0.0,0.0,0.0,0,0,9186,Near-Prime
3,80.0,0.0,80.0,0,2,9186,Near-Prime
4,80.0,0.0,80.0,0,2,9186,Near-Prime
5,80.0,0.0,80.0,0,2,9186,Near-Prime
6,120.0,0.0,120.0,0,3,9186,Near-Prime
7,80.0,0.0,80.0,0,2,9186,Near-Prime
8,120.0,0.0,120.0,0,3,9186,Near-Prime
9,40.0,0.0,40.0,0,1,9186,Near-Prime
10,40.0,0.0,40.0,0,1,9186,Near-Prime
11,0.0,0.0,0.0,0,0,9186,Near-Prime
12,120.0,0.0,120.0,0,3,9186,Near-Prime
13,80.0,0.0,80.0,0,2,9186,Near-Prime
14,160.0,0.0,160.0,0,4,9186,Near-Prime
15,80.0,1340.5,-1260.5,1,3,9186,Near-Prime
16,80.0,0.0,80.0,0,2,9186,Near-Prime
17,40.0,0.0,40.0,0,1,9186,Near-Prime
18,80.0,1340.5,-1260.5,1,3,9186,Near-Prime
19,0.0,1340.5,-1340.5,1,1,9186,Near-Prime
20,80.0,0.0,80.0,0,2,9186,Near-Prime
21,40.0,0.0,40.0,0,1,9186,Near-Prime
22,120.0,0.0,120.0,0,3,9186,Near-Prime
23,40.0,0.0,40.0,0,1,9186,Near-Prime
24,120.0,0.0,120.0,0,3,9186,Near-Prime
25,120.0,0.0,120.0,0,3,9186,Near-Prime
26,120.0,0.0,120.0,0,3,9186,Near-Prime
27,80.0,0.0,80.0,0,2,9186,Near-Prime
28,80.0,0.0,80.0,0,2,9186,Near-Prime
29,40.0,0.0,40.0,0,1,9186,Near-Prime
30,80.0,0.0,80.0,0,2,9186,Near-Prime
31,120.0,0.0,120.0,0,3,9186,Near-Prime
32,40.0,1340.5,-1300.5,1,2,9186,Near-Prime
33,40.0,0.0,40.0,0,1,9186,Near-Prime
34,80.0,0.0,80.0,0,2,9186,Near-Prime
35,120.0,0.0,120.0,0,3,9186,Near-Prime
36,0.0,0.0,0.0,0,0,9186,Near-Prime
37,40.0,0.0,40.0,0,1,9186,Near-Prime
38,120.0,0.0,120.0,0,3,9186,Near-Prime
39,40.0,0.0,40.0,0,1,9186,Near-Prime
40,80.0,0.0,80.0,0,2,9186,Near-Prime
41,80.0,0.0,80.0,0,2,9186,Near-Prime
42,80.0,0.0,80.0,0,2,9186,Near-Prime
